Time	Channel A
(ms)	(V)

-4.48204800	0.13185200
-4.48153600	0.11720180
-4.48102400	0.12208520
-4.48051200	0.12208520
-4.48000000	0.10255160
-4.47948800	0.10255160
-4.47897600	0.13673540
-4.47846400	0.11720180
-4.47795200	0.11231840
-4.47744000	0.12208520
-4.47692800	0.11231840
-4.47641600	0.09766817
-4.47590400	0.11231840
-4.47539200	0.12696860
-4.47488000	0.11231840
-4.47436800	0.11231840
-4.47385600	0.10255160
-4.47334400	0.11720180
-4.47283200	0.09278476
-4.47232000	0.09766817
-4.47180800	0.10743500
-4.47129600	0.09278476
-4.47078400	0.08790135
-4.47027200	0.07325113
-4.46976000	0.09766817
-4.46924800	0.10743500
-4.46873600	0.08790135
-4.46822400	0.09766817
-4.46771200	0.11231840
-4.46720000	0.09766817
-4.46668800	0.09766817
-4.46617600	0.09278476
-4.46566400	0.10743500
-4.46515200	0.10255160
-4.46464000	0.09766817
-4.46412800	0.10743500
-4.46361600	0.10255160
-4.46310400	0.11720180
-4.46259200	0.11231840
-4.46208000	0.09278476
-4.46156800	0.10743500
-4.46105600	0.10255160
-4.46054400	0.09278476
-4.46003200	0.10255160
-4.45952000	0.10255160
-4.45900800	0.12696860
-4.45849600	0.12696860
-4.45798400	0.10255160
-4.45747200	0.12208520
-4.45696000	0.13185200
-4.45644800	0.12696860
-4.45593600	0.11720180
-4.45542400	0.13185200
-4.45491200	0.10743500
-4.45440000	0.11720180
-4.45388800	0.10743500
